# ADR90 WP-A2 tau=0 band, build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
0.109584375,0.0547921875,2791.74641,-2791.76776,0.078125,0,4374.74498
0.1096625,0.05483125,2802.80142,-2802.91649,0.078125,1,4381.70338
0.109740625,0.0548703125,2806.98333,-2806.97294,0.078125,1,4392.03607
0.10981875,0.054909375,2802.18646,-2802.23386,0.15625,0,4398.63475
0.109975,0.0549875,2818.15849,-2818.04933,0.15625,1,4404.25957
0.11013125,0.055065625,2814.43614,-2814.40525,0.15625,1,4411.99961
0.1102875,0.05514375,2830.26404,-2830.24331,0.15625,1,4416.66428
0.11044375,0.055221875,2837.82812,-2837.98501,0.15625,1,4420.59659
0.110521875,0.0552609375,2831.45671,-2831.38679,0.078125,0,4437.73762
0.1106,0.0553,2842.54101,-2842.65058,0.078125,1,4445.28662
0.110678125,0.0553390625,2851.12205,-2851.11847,0.078125,1,4454.19448
0.11075625,0.055378125,2849.27108,-2849.46207,0.078125,1,4459.81087
0.110834375,0.0554171875,2852.45561,-2852.63874,0.078125,1,4467.52188
0.1109125,0.05545625,2856.23413,-2856.52326,0.15625,1,4476.34514
0.11106875,0.055534375,2854.55772,-2854.62142,0.15625,1,4488.75223
0.111225,0.0556125,2871.06586,-2870.96013,0.15625,1,4491.28282
0.111303125,0.0556515625,2872.47432,-2872.61454,0.078125,1,4506.12215
0.11138125,0.055690625,2875.92528,-2876.1185,0.078125,1,4509.24764
0.111459375,0.0557296875,2879.46741,-2879.74328,0.078125,1,4510.91075
0.1115375,0.05576875,2874.91564,-2875.05487,0.078125,0,4515.22077
0.111615625,0.0558078125,2886.13983,-2886.25096,0.078125,1,4521.44247
0.11169375,0.055846875,2890.50512,-2890.48542,0.15625,1,4523.48433
0.111771875,0.0558859375,2892.12611,-2892.29205,0.078125,1,4542.1796
0.11185,0.055925,2888.44652,-2888.46847,0.078125,0,4548.84967
0.111928125,0.0559640625,2899.63941,-2899.74972,0.078125,1,4553.93835
0.11200625,0.056003125,2903.87131,-2903.85606,0.078125,1,4558.38221
0.112084375,0.0560421875,2905.53149,-2905.67416,0.078125,1,4562.27376
0.1121625,0.05608125,2915.12033,-2915.22433,0.15625,1,4568.05476
0.11231875,0.056159375,2908.70365,-2908.55003,0.15625,1,4575.25468
0.112475,0.0562375,2924.63363,-2924.53753,0.15625,1,4583.07462
0.112553125,0.0562765625,2925.81886,-2925.98579,0.078125,1,4592.91926
0.11263125,0.056315625,2929.04308,-2929.31088,0.078125,1,4597.74278
0.112709375,0.0563546875,2924.95063,-2924.94888,0.078125,0,4601.57067
0.1127875,0.05639375,2936.18868,-2936.30146,0.078125,1,4604.60745
0.112865625,0.0564328125,2940.57112,-2940.55276,0.078125,1,4609.31644
0.11294375,0.056471875,2935.56119,-2935.55217,0.15625,0,4614.53435
0.1131,0.05655,2951.84933,-2951.74486,0.15625,1,4619.95322
0.113178125,0.0565890625,2952.69431,-2952.93738,0.078125,1,4632.81626
0.11325625,0.056628125,2955.86483,-2956.14413,0.078125,1,4639.8594
0.113334375,0.0566671875,2959.3197,-2959.65839,0.078125,1,4642.37211
0.1134125,0.05670625,2955.78786,-2956.15804,0.078125,1,4646.88866
0.113490625,0.0567453125,2967.01516,-2967.22074,0.078125,1,4651.67193
0.11356875,0.056784375,2971.4943,-2971.51655,0.15625,1,4655.26425
0.113646875,0.0568234375,2972.64961,-2972.91096,0.078125,1,4671.05274
0.113725,0.0568625,2968.21415,-2968.29489,0.078125,0,4678.02176
0.113803125,0.0569015625,2979.54495,-2979.66727,0.078125,1,4684.57568
0.11388125,0.056940625,2984.05284,-2984.03144,0.078125,1,4693.85447
0.113959375,0.0569796875,2978.41151,-2978.42555,0.078125,0,4701.5634
0.1140375,0.05701875,2989.7328,-2989.84398,0.15625,1,4708.32403
0.11419375,0.057096875,2998.3993,-2998.49297,0.15625,1,4719.79342
0.11435,0.057175,2996.34886,-2996.37435,0.15625,0,4728.17153
0.11450625,0.057253125,3012.65254,-3012.55515,0.15625,1,4733.50692
0.1146625,0.05733125,3009.10033,-3009.25803,0.15625,0,4744.61824
0.11481875,0.057409375,3025.40862,-3025.3414,0.15625,1,4754.15302
0.114975,0.0574875,3021.38242,-3021.30918,0.3125,1,4767.28937
0.1152875,0.05764375,3036.15511,-3036.37662,0.3125,1,4774.61182
0.1156,0.0578,3047.84086,-3047.96771,0.3125,1,4783.93863
0.1159125,0.05795625,3061.71499,-3061.86299,0.3125,1,4788.68619
0.116225,0.0581125,3074.48178,-3074.65139,0.3125,1,4797.65992
0.1165375,0.05826875,3089.8305,-3090.26255,0.3125,1,4806.2755
0.11685,0.058425,3100.11218,-3100.13894,0.625,1,4824.07632
0.117475,0.0587375,3127.0985,-3127.15701,0.625,1,4829.736
0.1181,0.05905,3153.5089,-3153.48588,0.625,1,4840.79408
0.118725,0.0593625,3178.53219,-3178.58478,0.625,1,4847.39552
0.1190375,0.05951875,3192.1752,-3192.30296,0.3125,1,4857.17245
0.11935,0.059675,3205.89166,-3206.0432,0.3125,1,4863.00291
0.11950625,0.059753125,3222.52069,-3222.51134,0.15625,1,4873.68424
0.1196625,0.05983125,3217.56489,-3217.73537,0.15625,1,4881.63139
0.11981875,0.059909375,3234.30305,-3234.2772,0.15625,1,4891.40119
0.119896875,0.0599484375,3235.76997,-3235.94198,0.078125,1,4901.26085
0.119975,0.0599875,3247.16183,-3247.3584,0.078125,1,4913.39006
0.120053125,0.0600265625,3235.17012,-3235.18549,0.078125,1,4924.56156
0.12013125,0.060065625,3246.8928,-3247.01626,0.078125,1,4931.13944
0.120209375,0.0601046875,3251.74964,-3251.75503,0.078125,1,4942.08059
0.1202875,0.06014375,3253.37634,-3253.51486,0.15625,1,4951.22113
0.12044375,0.060221875,3254.06383,-3254.38479,0.15625,1,4958.52829
0.1206,0.0603,3268.49803,-3268.74,0.15625,1,4960.9622
0.12075625,0.060378125,3264.63337,-3264.5767,0.15625,1,4964.47578
0.1209125,0.06045625,3282.45139,-3282.29598,0.15625,1,4975.47212
0.12106875,0.060534375,3277.37385,-3277.48617,0.15625,1,4980.24702
0.121225,0.0606125,3294.80765,-3294.82747,0.3125,1,4989.38997
0.1215375,0.06076875,3297.34283,-3297.40642,0.3125,1,5000.63199
0.12169375,0.060846875,3312.58665,-3312.57141,0.15625,1,5016.79004
0.12185,0.060925,3313.04294,-3313.04472,0.15625,1,5022.71799
0.12200625,0.061003125,3327.89348,-3327.95472,0.15625,1,5030.5109
0.1221625,0.06108125,3323.55249,-3323.77064,0.15625,1,5036.46381
0.12231875,0.061159375,3338.57689,-3338.78116,0.15625,1,5042.39338
0.122475,0.0612375,3336.50489,-3336.71034,0.3125,1,5051.6284
0.1227875,0.06139375,3351.04997,-3351.21945,0.3125,1,5060.91818
0.1231,0.06155,3362.18147,-3362.15088,0.3125,1,5072.23939
0.1234125,0.06170625,3375.17737,-3375.18959,0.3125,1,5085.98325
0.123725,0.0618625,3387.31922,-3387.41433,0.3125,1,5090.07286
0.1240375,0.06201875,3402.3609,-3402.58549,0.3125,1,5100.87314
0.12435,0.062175,3410.69693,-3410.62764,0.625,1,5109.84493
0.1246625,0.06233125,3425.06203,-3425.23258,0.3125,1,5124.0248
0.124975,0.0624875,3435.81274,-3435.90203,0.3125,1,5129.82716
0.1252875,0.06264375,3447.99306,-3448.08355,0.3125,1,5135.2085
0.1256,0.0628,3460.59799,-3460.61506,0.3125,1,5142.78845
0.12575625,0.062878125,3475.46902,-3475.54425,0.15625,1,5155.20014
0.1259125,0.06295625,3471.68696,-3472.13285,0.15625,1,5157.45537
0.12606875,0.063034375,3487.19356,-3487.17916,0.15625,1,5163.94031
0.126225,0.0631125,3484.66365,-3484.41935,0.15625,1,5167.41037
0.12638125,0.063190625,3502.66292,-3502.54569,0.15625,1,5169.98916
0.1265375,0.06326875,3498.1582,-3498.33399,0.3125,1,5176.01594
0.12685,0.063425,3511.72052,-3511.72774,0.3125,1,5181.50841
0.12700625,0.063503125,3527.83148,-3527.91265,0.15625,1,5189.97597
0.1271625,0.06358125,3523.94461,-3524.0285,0.15625,1,5192.85809
0.12731875,0.063659375,3542.21488,-3542.13279,0.15625,1,5201.16041
0.127475,0.0637375,3536.77463,-3536.40468,0.15625,1,5205.38783
0.12763125,0.063815625,3555.26659,-3555.20611,0.15625,1,5210.73795
0.1277875,0.06389375,3550.96669,-3551.06202,0.3125,1,5218.00882
0.12794375,0.063971875,3569.84958,-3569.7322,0.15625,1,5230.78423
0.1281,0.06405,3563.93719,-3563.97073,0.15625,1,5234.19907
0.12825625,0.064128125,3582.75482,-3582.73644,0.15625,1,5243.54997
0.1284125,0.06420625,3577.78474,-3577.7667,0.15625,1,5256.72002
0.12856875,0.064284375,3594.25655,-3594.32535,0.15625,1,5260.6257
0.128725,0.0643625,3591.45718,-3591.55094,0.3125,1,5268.19928
0.1290375,0.06451875,3603.53957,-3603.60605,0.3125,1,5279.38971
0.12935,0.064675,3616.60457,-3616.67658,0.3125,1,5293.17703
0.1296625,0.06483125,3629.45615,-3629.70315,0.3125,1,5307.39046
0.129975,0.0649875,3644.40052,-3644.57064,0.3125,1,5316.62719
0.1302875,0.06514375,3654.93468,-3655.11318,0.3125,1,5325.4712
0.1306,0.0653,3668.08677,-3668.12977,0.625,1,5334.7412
0.131225,0.0656125,3693.65864,-3693.73244,0.625,1,5350.11508
0.1315375,0.06576875,3706.27494,-3706.27763,0.3125,1,5371.72785
0.13185,0.065925,3718.55249,-3718.64638,0.3125,1,5382.59525
0.1321625,0.06608125,3731.26936,-3731.30101,0.3125,1,5400.54027
0.132475,0.0662375,3744.15242,-3744.24672,0.3125,1,5415.93046
0.1327875,0.06639375,3756.09779,-3755.97511,0.3125,1,5436.21693
0.1331,0.06655,3771.07718,-3771.07247,0.625,1,5451.45263
0.133725,0.0668625,3793.50515,-3793.47743,0.625,1,5468.45728
0.1340375,0.06701875,3806.44351,-3806.50092,0.3125,1,5492.57586
0.13435,0.067175,3818.90761,-3818.97028,0.3125,1,5504.19812
0.1346625,0.06733125,3831.41194,-3831.4487,0.3125,1,5518.24038
0.134975,0.0674875,3843.45577,-3843.57023,0.3125,1,5527.11422
0.1352875,0.06764375,3855.56698,-3855.66178,0.3125,1,5541.80038
0.1356,0.0678,3869.25048,-3869.33626,0.625,1,5555.99734
0.136225,0.0681125,3894.64663,-3894.63591,0.625,1,5571.80559
0.13685,0.068425,3918.22201,-3918.22729,0.625,1,5588.651
