# ADR90 WP-A2 tau=0 band, build 87b9cf846aa6e75f96d620f24a15b24ba4503a52 (expected 87b9cf846aa6e75f96d620f24a15b24ba4503a52), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals,guard_floor,guard_f0,guard_hold,guard_res
0.05492,0.02746,657.453552,-657.443135,0.32,0,77.3217361,3.33394533e-05,4111,0,0,0,0
0.05524,0.02762,661.107867,-661.090863,0.32,0,77.6620038,3.31636516e-05,4111,0,0,0,0
0.05556,0.02778,664.781203,-664.739185,0.32,0,78.0041649,3.15923378e-05,4111,0,0,0,0
0.05588,0.02794,668.415888,-668.391797,0.64,0,78.3386614,3.28384037e-05,4111,0,0,0,0
0.0562,0.0281,672.087057,-672.036289,0.32,0,79.0453966,3.37804053e-05,4255,0,0,0,0
0.05652,0.02826,675.702868,-675.686799,0.32,0,79.3904889,3.21987487e-05,4255,0,0,0,0
0.05684,0.02842,679.354965,-679.327819,0.32,0,79.7264681,3.32217218e-05,4255,0,0,0,0
0.05716,0.02858,683.01552,-682.973261,0.32,0,80.0664427,3.21897158e-05,4255,0,0,0,0
0.05748,0.02874,686.646915,-686.615759,0.32,0,80.4183245,3.34027023e-05,4255,0,0,0,0
0.0578,0.0289,690.311367,-690.262653,0.64,0,80.7666624,3.37816669e-05,4255,0,0,0,0
0.05812,0.02906,693.937533,-693.898634,0.32,0,81.5045149,3.55540765e-05,4399,0,0,0,0
0.05844,0.02922,697.574175,-697.541233,0.32,0,81.8202367,3.20781741e-05,4399,0,0,0,0
0.05876,0.02938,701.221717,-701.178523,0.32,0,82.1717272,3.44830149e-05,4399,0,0,0,0
0.05908,0.02954,704.83705,-704.820944,0.32,0,82.5152361,3.14095071e-05,4399,0,0,0,0
0.0594,0.0297,708.503283,-708.463986,0.32,0,82.8495023,3.31071445e-05,4399,0,0,0,0
0.05972,0.02986,712.123319,-712.113108,0.64,0,83.1822708,3.25551164e-05,4399,0,0,0,0
0.06004,0.03002,715.78959,-715.758243,0.32,0,83.9047754,3.15448279e-05,4543,0,0,0,0
0.06036,0.03018,719.437896,-719.399835,0.32,0,84.2499316,3.4475723e-05,4543,0,0,0,0
0.06068,0.03034,723.057719,-723.045805,0.32,0,84.5922534,3.0756118e-05,4543,0,0,0,0
0.061,0.0305,726.71196,-726.68383,0.32,0,84.934886,3.12329393e-05,4543,0,0,0,0
