# ADR90 WP-A2 tau=0 band, build afb95c40c9e3da1cc97d6aabe8168644c53d0e82 (expected afb95c40c9e3da1cc97d6aabe8168644c53d0e82), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
0.02516,0.01258,314.424445,-314.413037,0.32,0,35.9390352,4.27927191e-05,1700
0.02548,0.01274,318.17129,-318.138975,0.32,0,36.285568,4.53098904e-05,1700
0.0258,0.0129,321.906757,-321.861112,0.32,0,36.6235785,4.39088115e-05,1700
0.02612,0.01306,325.622876,-325.58818,0.64,0,36.956789,4.22122945e-05,1700
0.02644,0.01322,329.346788,-329.317243,0.32,0,37.653429,4.21752611e-05,1856
0.02676,0.01338,333.069332,-333.040381,0.32,0,37.9832978,4.39328674e-05,1856
0.02708,0.01354,336.790136,-336.768596,0.32,0,38.3104219,4.16928938e-05,1856
0.0274,0.0137,340.506963,-340.486472,0.32,0,38.6515369,4.30203134e-05,1856
0.02772,0.01386,344.232351,-344.203324,0.32,0,38.9788687,4.50662173e-05,1856
0.02804,0.01402,347.944347,-347.919615,0.64,0,39.2968178,4.43454435e-05,1856
0.02836,0.01418,351.663106,-351.63646,0.32,0,40.0114601,4.48565418e-05,2021
0.02868,0.01434,355.375809,-355.345625,0.32,0,40.3423293,4.77275712e-05,2021
0.029,0.0145,359.096053,-359.065233,0.32,0,40.6669455,4.56623621e-05,2021
0.02932,0.01466,362.816832,-362.780626,0.32,0,40.9868219,4.39491669e-05,2021
0.02964,0.01482,366.520702,-366.495942,0.32,0,41.3343892,4.36772671e-05,2021
0.02996,0.01498,370.226927,-370.206578,0.64,0,41.6820235,4.34346062e-05,2021
0.03028,0.01514,373.941706,-373.914879,0.32,0,42.3957283,4.25160859e-05,2189
0.0306,0.0153,377.649914,-377.626585,0.32,0,42.7387483,4.17077682e-05,2189
0.03092,0.01546,381.368609,-381.341025,0.32,0,43.0725493,4.04387288e-05,2189
0.03124,0.01562,385.071054,-385.050865,0.32,0,43.4025609,4.23343187e-05,2189
0.03156,0.01578,388.778407,-388.757257,0.32,0,43.7317481,4.10722232e-05,2189
0.03188,0.01594,392.48238,-392.465306,0.64,0,44.0567622,4.01514014e-05,2189
0.0322,0.0161,396.198572,-396.17578,0.32,0,44.7291973,3.82699675e-05,2345
0.03252,0.01626,399.908211,-399.874498,0.32,0,45.0660844,4.22434044e-05,2345
0.03284,0.01642,403.596936,-403.583738,0.32,0,45.3858683,4.01617455e-05,2345
0.03316,0.01658,407.301919,-407.282974,0.32,0,45.7223747,4.32241103e-05,2345
0.03348,0.01674,410.999107,-410.984022,0.32,0,46.0515823,3.89617346e-05,2345
0.0338,0.0169,414.691341,-414.678982,0.64,0,46.3781238,4.05079498e-05,2345
0.03412,0.01706,418.392666,-418.382305,0.32,0,47.0609665,4.20601251e-05,2513
0.03444,0.01722,422.090016,-422.07412,0.32,0,47.384223,4.19053331e-05,2513
0.03476,0.01738,425.786865,-425.774484,0.32,0,47.7082391,3.79571137e-05,2513
0.03508,0.01754,429.499329,-429.468695,0.32,0,48.0273478,4.06103423e-05,2513
0.0354,0.0177,433.196012,-433.166513,0.32,0,48.3373077,3.90694897e-05,2513
0.03572,0.01786,436.887611,-436.861311,0.64,0,48.6661391,3.99385142e-05,2513
0.03604,0.01802,440.58265,-440.555453,0.32,0,49.3218875,4.20105234e-05,2681
0.03636,0.01818,444.268918,-444.252919,0.32,0,49.6488171,3.95365823e-05,2681
0.03668,0.01834,447.952504,-447.93252,0.32,0,49.9688985,4.09061227e-05,2681
0.037,0.0185,451.638871,-451.623488,0.32,0,50.2885396,4.06679439e-05,2681
0.03732,0.01866,455.326022,-455.312226,0.32,0,50.604964,3.87648419e-05,2681
0.03764,0.01882,459.014983,-458.997924,0.64,0,50.9109318,3.7992228e-05,2681
0.03796,0.01898,462.705623,-462.687071,0.32,0,51.5519588,3.79627913e-05,2849
0.03828,0.01914,466.399304,-466.384834,0.32,0,51.8801842,3.39666741e-05,2849
0.0386,0.0193,470.085158,-470.071849,0.32,0,52.188045,3.63301622e-05,2849
0.03892,0.01946,473.786534,-473.757258,0.32,0,52.5090399,3.80142234e-05,2849
0.03924,0.01962,477.460121,-477.439557,0.32,0,52.8381424,3.81146184e-05,2849
0.03956,0.01978,481.133501,-481.122824,0.64,0,53.1696174,3.60965657e-05,2849
0.03988,0.01994,484.817091,-484.799888,0.32,0,53.8030741,3.63785012e-05,3017
0.0402,0.0201,488.48697,-488.47661,0.32,0,54.1097834,3.32375527e-05,3017
0.04052,0.02026,492.175107,-492.154879,0.32,0,54.4261668,3.61795413e-05,3017
0.04084,0.02042,495.849912,-495.836267,0.32,0,54.732069,3.52470709e-05,3017
0.04116,0.02058,499.538527,-499.520601,0.32,0,55.056761,3.29575741e-05,3017
0.04148,0.02074,503.235009,-503.203443,0.64,0,55.3609109,3.54613218e-05,3017
0.0418,0.0209,506.907742,-506.887774,0.32,0,55.9943495,3.26274815e-05,3185
0.04212,0.02106,510.583334,-510.563063,0.32,0,56.3199792,3.71140717e-05,3185
0.04244,0.02122,514.253086,-514.243514,0.32,0,56.6230137,3.50469181e-05,3185
0.04276,0.02138,517.926309,-517.911559,0.32,0,56.9303253,3.84746269e-05,3185
0.04308,0.02154,521.601334,-521.592335,0.32,0,57.2383554,3.3688724e-05,3185
0.0434,0.0217,525.267882,-525.259587,0.64,0,57.5513489,3.53662766e-05,3185
0.04372,0.02186,528.955233,-528.931003,0.32,0,58.2038202,3.34621136e-05,3338
0.04404,0.02202,532.623181,-532.605842,0.32,0,58.5399642,3.20544679e-05,3338
0.04436,0.02218,536.292434,-536.282243,0.32,0,58.8632596,3.35592251e-05,3338
0.04468,0.02234,539.968824,-539.952794,0.32,0,59.1599498,3.55951477e-05,3338
0.045,0.0225,543.645021,-543.623756,0.32,0,59.4832265,3.11898051e-05,3338
0.04532,0.02266,547.320101,-547.295646,0.64,0,59.8036251,3.37070762e-05,3338
0.04564,0.02282,550.988055,-550.964049,0.32,0,60.4505024,3.32613055e-05,3482
0.04596,0.02298,554.66059,-554.63426,0.32,0,60.7598479,3.21638907e-05,3482
0.04628,0.02314,558.309659,-558.295028,0.32,0,61.0822282,3.35789617e-05,3482
0.0466,0.0233,561.976526,-561.951784,0.32,0,61.3868871,3.345607e-05,3482
0.04692,0.02346,565.625403,-565.613141,0.32,0,61.7141788,3.13409153e-05,3482
