# ADR90 WP-A2 tau=0 band, build afb95c40c9e3da1cc97d6aabe8168644c53d0e82 (expected afb95c40c9e3da1cc97d6aabe8168644c53d0e82), leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s,implex_err_avg,implex_refusals
0.01892,0.00946,240.896198,-240.892696,0.08,0,49.6917045,1.44656929e-05,3304
0.019,0.0095,241.832671,-241.83072,0.08,0,49.8456359,1.5973123e-05,3304
0.01908,0.00954,242.772226,-242.769546,0.16,0,50.0211165,1.42302416e-05,3304
0.01916,0.00958,243.708407,-243.707444,0.08,0,50.4316313,1.62875376e-05,3400
0.01924,0.00962,244.650241,-244.647247,0.08,0,50.6054771,1.43048659e-05,3400
0.01932,0.00966,245.588703,-245.588668,0.08,0,50.7988143,1.59474398e-05,3400
0.0194,0.0097,246.536511,-246.530493,0.08,0,50.9680116,1.26327333e-05,3400
0.01948,0.00974,247.477423,-247.470241,0.08,0,51.1487033,1.46078107e-05,3400
0.01956,0.00978,248.414554,-248.408651,0.16,0,51.321888,1.56613879e-05,3400
0.01964,0.00982,249.350557,-249.345786,0.08,0,51.7382574,1.59143173e-05,3487
0.01972,0.00986,250.293776,-250.283678,0.08,0,51.9260304,1.5270995e-05,3487
0.0198,0.0099,251.22841,-251.224878,0.08,0,52.1136878,1.52355023e-05,3487
0.01988,0.00994,252.168343,-252.163265,0.08,0,52.3126626,1.46498893e-05,3487
0.01996,0.00998,253.10956,-253.102829,0.08,0,52.5144486,1.53225816e-05,3487
0.02004,0.01002,254.049397,-254.043539,0.16,0,52.6983976,1.37807223e-05,3487
0.02012,0.01006,254.993136,-254.982139,0.08,0,53.1737549,1.45908976e-05,3571
0.0202,0.0101,255.925888,-255.91824,0.08,0,53.3566968,1.50525712e-05,3571
0.02028,0.01014,256.861955,-256.856237,0.08,0,53.5560372,1.50899396e-05,3571
0.02036,0.01018,257.796025,-257.792632,0.08,0,53.7321877,1.49461438e-05,3571
0.02044,0.01022,258.729679,-258.728959,0.08,0,53.9463093,1.57160742e-05,3571
0.02052,0.01026,259.672335,-259.66544,0.16,0,54.1468432,1.33110969e-05,3571
0.0206,0.0103,260.606982,-260.601756,0.08,0,54.5554576,1.50790518e-05,3655
0.02068,0.01034,261.541802,-261.53769,0.08,0,54.7247617,1.43517268e-05,3655
0.02076,0.01038,262.484622,-262.469733,0.08,0,54.9194727,1.62804361e-05,3655
0.02084,0.01042,263.41504,-263.404365,0.08,0,55.0862551,1.55756522e-05,3655
0.02092,0.01046,264.344697,-264.340754,0.08,0,55.2751143,1.47347452e-05,3655
0.021,0.0105,265.283472,-265.277981,0.16,0,55.4494033,1.38157856e-05,3655
0.02108,0.01054,266.222536,-266.213752,0.08,0,55.8727074,1.58099176e-05,3739
0.02116,0.01058,267.154128,-267.150889,0.08,0,56.0409191,1.58773279e-05,3739
0.02124,0.01062,268.096856,-268.086655,0.08,0,56.2291074,1.503675e-05,3739
0.02132,0.01066,269.033907,-269.022807,0.08,0,56.3965929,1.53904247e-05,3739
0.0214,0.0107,269.964215,-269.959021,0.08,0,56.5798628,1.61008754e-05,3739
0.02148,0.01074,270.907444,-270.893197,0.16,0,56.7557862,1.53978016e-05,3739
0.02156,0.01078,271.83351,-271.831829,0.08,0,57.2410145,1.46054922e-05,3823
0.02164,0.01082,272.77298,-272.766387,0.08,0,57.4362304,1.53716004e-05,3823
0.02172,0.01086,273.709119,-273.702141,0.08,0,57.6089559,1.49256781e-05,3823
0.0218,0.0109,274.644597,-274.637982,0.08,0,57.7956703,1.38247049e-05,3823
0.02188,0.01094,275.578049,-275.574893,0.08,0,57.9931026,1.31556374e-05,3823
0.02196,0.01098,276.514645,-276.509773,0.16,0,58.1721065,1.39802764e-05,3823
0.02204,0.01102,277.455837,-277.445646,0.08,0,58.5902038,1.33960185e-05,3895
0.02212,0.01106,278.380264,-278.378312,0.08,0,58.7738254,1.55204307e-05,3895
0.0222,0.0111,279.317975,-279.312222,0.08,0,58.9419835,1.30262797e-05,3895
0.02228,0.01114,280.247478,-280.246206,0.08,0,59.132463,1.41822864e-05,3895
0.02236,0.01118,281.185174,-281.181985,0.08,0,59.3168457,1.34297544e-05,3895
0.02244,0.01122,282.119714,-282.114978,0.16,0,59.5166917,1.45762517e-05,3895
0.02252,0.01126,283.058277,-283.051806,0.08,0,59.9330823,1.33763541e-05,3970
0.0226,0.0113,283.993449,-283.987347,0.08,0,60.1091094,1.33765326e-05,3970
